Order Date,Week Number,Order ID,Category,Item Type,Seller Name,Brand,Item Title,Bar Code,Quantity sold,Margin,Price,Cost
28-Jul-13,31,3288102,Bags & Shoes,Shoes,cocosstore,COCOS,3351,2724269438678,1,20,50,40
30-Jul-13,31,3306068,Bags & Shoes,Shoes,cocosstore,COCOS,3353,2724271349252,1,20,50,40
05-Jul-13,27,3156053,Bags & Shoes,Handbags,cocosstore,COCOS,8908,2724272504018,1,20,100,80
21-Jul-13,30,3246265,Watches & Accessories,Watches,FlagmanPeak,AK Anne Klein,"""Anne Klein Women's 10/9956CMHN Swarovski Crystal Accented Gold-Tone Horn Resin Watch """,2724275075270,1,20,352,281.6
29-Jul-13,31,3295210,Watches & Accessories,Watches,FlagmanPeak,AK Anne Klein,"""Anne Klein Women's 104899BKSB Silver-Tone Black Dial Dress Watch """,2724275168361,1,20,202,161.6
05-Jul-13,27,3154867,Watches & Accessories,Watches,FlagmanPeak,AK Anne Klein,"""Anne Klein Women's 109069MPTT Diamond Accented Round Two-Tone """"X"""" Shaped Bangle Watch """,2724275077137,1,20,401,320.8
10-Jul-13,28,3180819,Watches & Accessories,Watches,FlagmanPeak,AK Anne Klein,"""Anne Klein Women's 109168IVBN Gold-Tone Round Brown Leather Strap Watch """,2724275161911,1,20,196,156.8
28-Jul-13,31,3284633,Watches & Accessories,Watches,FlagmanPeak,AK Anne Klein,"""Anne Klein Women's 109168IVBN Gold-Tone Round Brown Leather Strap Watch """,2724275161911,1,20,196,156.8
04-Jul-13,27,3149806,Watches & Accessories,Watches,FlagmanPeak,AK Anne Klein,"""Anne Klein Women's 109416BKBK Swarovski Crystal Accented Gold-Tone Black Ceramic Watch """,2724275059096,1,20,492,393.6
15-Jul-13,29,3209792,Watches & Accessories,Watches,absholding,Casio,"""Casio Men's A178WA-1A Illuminator Bracelet Digital Watch """,2724275029525,2,20,190,152
03-Jul-13,27,3143624,Watches & Accessories,Watches,FlagmanPeak,Casio,"""Casio Men's DB37H-1AV Multilingual Databank Black Resin Strap Watch """,2724275063468,1,20,112,89.6
06-Jul-13,27,3162793,Watches & Accessories,Watches,FlagmanPeak,Casio,"""Casio Men's W89HB-5AV Illuminator Sport Nylon Strap Watch """,2724275059904,1,20,114,91.2
08-Jul-13,28,3171052,Watches & Accessories,Watches,FlagmanPeak,Casio,"""Casio Men's W89HB-5AV Illuminator Sport Nylon Strap Watch """,2724275059904,1,20,114,91.2
